x,y,order,hole,piece,group,fips,abbr,full,county
1022739.266,-2090030.723,55212,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022848.268,-2090039.751,55213,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022993.606,-2090088.197,55214,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023303.658,-2090235.296,55215,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023458.684,-2090421.371,55216,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023763.892,-2090547.77,55217,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023771.159,-2090623.742,55218,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023758.383,-2090863.506,55219,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023753.724,-2090950.952,55220,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023749.358,-2091032.888,55221,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023620.977,-2091106.437,55222,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023446.573,-2091200.686,55223,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023277.013,-2091244.287,55224,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023168.01,-2091340.738,55225,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023027.381,-2091460.565,55226,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1023025.095,-2091462.513,55227,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022887.025,-2091524.611,55228,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022637.53,-2091469.559,55229,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022731.999,-2091317.836,55230,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022814.337,-2091133.4,55231,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022853.113,-2091046.541,55232,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022765.911,-2090777.667,55233,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022467.97,-2090320.296,55234,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022739.266,-2090030.723,55235,FALSE,3,699.2,72053,PR,Puerto Rico,Fajardo Municipio
1022131.42,-2096832.717,55236,FALSE,4,699.3,72053,PR,Puerto Rico,Fajardo Municipio
1022229.558,-2096739.533,55237,FALSE,4,699.3,72053,PR,Puerto Rico,Fajardo Municipio
