order,x,y,hole,piece,group,fips,abbr,NAME
13664,738343.51,-2185974.809,F,1,72.1,72,PR,Puerto Rico
13665,738343.51,-2186261.685,F,1,72.1,72,PR,Puerto Rico
13666,738138.5474,-2186304.997,F,1,72.1,72,PR,Puerto Rico
13667,737872.4858,-2186361.219,F,1,72.1,72,PR,Puerto Rico
13668,737817.7904,-2186348.973,F,1,72.1,72,PR,Puerto Rico
13669,737510.9101,-2186280.266,F,1,72.1,72,PR,Puerto Rico
13670,735227.4021,-2185769.01,F,1,72.1,72,PR,Puerto Rico
13671,735203.1287,-2185763.576,F,1,72.1,72,PR,Puerto Rico
13672,735150.7193,-2185265.686,F,1,72.1,72,PR,Puerto Rico
13673,734522.6871,-2184767.797,F,1,72.1,72,PR,Puerto Rico
13674,733685.2374,-2184718.03,F,1,72.1,72,PR,Puerto Rico
13675,732874.9258,-2185007.122,F,1,72.1,72,PR,Puerto Rico
13676,732429.173,-2185166.152,F,1,72.1,72,PR,Puerto Rico
13677,732224.5525,-2185210.114,F,1,72.1,72,PR,Puerto Rico
13678,731684.7474,-2185326.091,F,1,72.1,72,PR,Puerto Rico
13679,730806.683,-2185514.741,F,1,72.1,72,PR,Puerto Rico
13680,730642.085,-2185514.741,F,1,72.1,72,PR,Puerto Rico
13681,729655.2172,-2185514.741,F,1,72.1,72,PR,Puerto Rico
13682,729645.9766,-2185514.415,F,1,72.1,72,PR,Puerto Rico
13683,728530.9705,-2185475.146,F,1,72.1,72,PR,Puerto Rico
13684,728242.1447,-2185464.974,F,1,72.1,72,PR,Puerto Rico
13685,727561.7031,-2185962.863,F,1,72.1,72,PR,Puerto Rico
13686,726495.7708,-2186216.408,F,1,72.1,72,PR,Puerto Rico
13687,726305.4185,-2186261.685,F,1,72.1,72,PR,Puerto Rico
13688,725363.3701,-2186510.52,F,1,72.1,72,PR,Puerto Rico
13689,724264.3138,-2186610.054,F,1,72.1,72,PR,Puerto Rico
13690,724082.7101,-2186656.155,F,1,72.1,72,PR,Puerto Rico
13691,723479.2735,-2186809.342,F,1,72.1,72,PR,Puerto Rico
