zipcode,zipcode_type,major_city,post_office_city,county,state,lat,lng
99501,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.3,-149.8
99502,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.2,-150.1
99503,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.19,-149.89
99504,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.21,-149.73
99505,Standard,Jber,"Jber, AK",Anchorage Municipality,AK,61.26,-149.69
99506,Standard,Jber,"Jber, AK",Anchorage Municipality,AK,61.26,-149.79
99507,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.2,-149.7
99508,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.21,-149.82
99509,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.1993718,-149.9186747
99510,PO Box,Anchorage,"Anchorage, AK",North Slope Borough,AK,61.218,-149.858
99511,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.11,-149.86
99513,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.218,-149.858
99514,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.22,-149.9
99515,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.1,-149.8
99516,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.1,-149.7
99517,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.19,-149.95
99518,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.16,-149.89
99519,PO Box,Anchorage,"Anchorage, AK",North Slope Borough,AK,61.218,-149.858
99520,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.21,-149.86
99521,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.2,-149.73
99522,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.15,-149.9199999
99523,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.17,-149.84
99524,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.22,-149.9
99529,Standard,Anchorage,NA,Anchorage Municipality,AK,61.1834354,-149.9882262
99530,Standard,Anchorage,NA,Anchorage Municipality,AK,61.1918603,-149.983574
99540,Standard,Indian,"Indian, AK",Anchorage Municipality,AK,61,-149.5
99545,PO Box,Kongiganak,NA,Bethel Census Area,AK,59.9595406,-162.8893068
99546,PO Box,Adak,"Adak, AK",Aleutians West Census Area,AK,51.86661,-176.63789
99547,PO Box,Atka,"Atka, AK",Aleutians West Census Area,AK,53,-173
99548,PO Box,Chignik Lake,"Chignik Lake, AK",Lake and Peninsula Borough,AK,57,-156
99549,PO Box,Port Heiden,"Port Heiden, AK",Lake and Peninsula Borough,AK,57,-157
99550,PO Box,Port Lions,"Port Lions, AK",Kodiak Island Borough,AK,58,-153
99551,PO Box,Akiachak,"Akiachak, AK",Bethel Census Area,AK,60.9,-161.4
99552,PO Box,Akiak,"Akiak, AK",Bethel Census Area,AK,60.89,-161.19
99553,PO Box,Akutan,"Akutan, AK",Aleutians East Borough,AK,54.1,-165.5
99554,PO Box,Alakanuk,"Alakanuk, AK",Wade Hampton Census Area,AK,62.7,-164.7
99555,PO Box,Aleknagik,"Aleknagik, AK",Dillingham Census Area,AK,59.29,-158.62
99556,Standard,Anchor Point,"Anchor Point, AK",Kenai Peninsula Borough,AK,59.8,-151.7
99557,PO Box,Aniak,"Aniak, AK",Bethel Census Area,AK,62,-157
99558,PO Box,Anvik,"Anvik, AK",Yukon-Koyukuk Census Area,AK,63,-160
99559,PO Box,Bethel,"Bethel, AK",Bethel Census Area,AK,61,-161
99561,PO Box,Chefornak,"Chefornak, AK",Bethel Census Area,AK,60.15,-164.25
99563,PO Box,Chevak,"Chevak, AK",Wade Hampton Census Area,AK,61.53,-165.59
99564,PO Box,Chignik,"Chignik, AK",Lake and Peninsula Borough,AK,56.3,-158.4
99565,PO Box,Chignik Lagoon,"Chignik Lagoon, AK",Lake and Peninsula Borough,AK,56.6,-158.8
99566,PO Box,Chitina,"Chitina, AK",Valdez-Cordova Census Area,AK,61.515,-144.438
99567,Standard,Chugiak,"Chugiak, AK",Anchorage Municipality,AK,61.3,-149.4
99568,Standard,Clam Gulch,"Clam Gulch, AK",Kenai Peninsula Borough,AK,60.2,-151.4
99569,PO Box,Clarks Point,"Clarks Point, AK",Dillingham Census Area,AK,58.8,-157.9
99571,PO Box,Cold Bay,"Cold Bay, AK",Aleutians East Borough,AK,55,-161
99572,Standard,Cooper Landing,"Cooper Landing, AK",Kenai Peninsula Borough,AK,60.5,-150.1
99573,Standard,Copper Center,"Copper Center, AK",Valdez-Cordova Census Area,AK,62,-145
99574,PO Box,Cordova,"Cordova, AK",Valdez-Cordova Census Area,AK,60,-143
99575,PO Box,Crooked Creek,"Crooked Creek, AK",Bethel Census Area,AK,61.8612,-158.1317
99576,PO Box,Dillingham,"Dillingham, AK",Dillingham Census Area,AK,59,-158.5
99577,Standard,Eagle River,"Eagle River, AK",Anchorage Municipality,AK,61.1,-149.1
99578,PO Box,Eek,"Eek, AK",Bethel Census Area,AK,60,-161
99579,PO Box,Egegik,"Egegik, AK",Lake and Peninsula Borough,AK,58.2,-157.4
99580,PO Box,Ekwok,"Ekwok, AK",Dillingham Census Area,AK,59.36,-157.49
